cidx	CCHAR1	LOCATE('aaa',CCHAR1)
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR3
11	NULL
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR3
11	NULL
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR4
11	NULL
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
1	aaaa
cidx	CVCHAR4
11	NULL
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR4
11	NULL
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR4
11	NULL
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR5
11	NULL
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
1	aaaaa
cidx	CVCHAR5
11	NULL
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR5
11	NULL
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR5
11	NULL
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR6
11	NULL
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
1	aaaaaa
cidx	CVCHAR6
11	NULL
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
11	NULL
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
11	NULL
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR7
11	NULL
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
1	aaaaaaa
cidx	CVCHAR7
11	NULL
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
11	NULL
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
11	NULL
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR8
11	NULL
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
1	aaaaaaaa
cidx	CVCHAR8
11	NULL
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
11	NULL
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
11	NULL
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR255
11	NULL
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
1	aaaaaaaaaa
cidx	CVCHAR255
11	NULL
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
11	NULL
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
11	NULL
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
