count(distinct l_linenumber)
7
sum(distinct l_linenumber)	avg(distinct l_linenumber)	count(distinct l_linenumber)
30531	8041	0.00
30547	3051	0.03
30557	558	0.06
30594	8104	0.02
30605	8115	0.08
30616	5623	0.00
30639	3143	0.02
30658	3162	0.00
30670	5677	0.05
30683	684	0.06
30702	5709	0.05
30727	5734	0.04
30734	735	0.02
30745	8255	0.08
30749	750	0.06
30762	3266	0.02
30810	5817	0.00
30832	5839	0.03
30847	8357	0.07
30853	3357	0.03
30960	5967	0.03
30963	3467	0.01
30964	5971	0.06
30981	3485	0.06
30998	999	0.01
31009	3513	0.00
31032	6039	0.00
31033	3537	0.04
31044	3548	0.01
31049	6056	0.05
31089	1090	0.00
31122	3626	0.03
31194	1195	0.06
31216	3720	0.04
31236	3740	0.06
31239	3743	0.02
31271	3775	0.04
31290	6297	0.01
31307	6314	0.04
31326	8836	0.00
31329	6336	0.04
31333	3837	0.04
31373	8883	0.00
31411	6418	0.01
31442	8952	0.03
31474	1475	0.07
31484	6491	0.07
31490	6497	0.06
31521	9031	0.01
31614	1615	0.06
31638	4142	0.03
31640	6647	0.06
31660	6667	0.08
31701	4205	0.04
31739	9249	0.03
31770	4274	0.00
31836	9346	0.02
31841	1842	0.04
31841	4345	0.02
31865	4369	0.01
31880	6887	0.04
31913	6920	0.08
31921	4425	0.02
31950	9460	0.07
31961	9471	0.08
31971	9481	0.02
32014	4518	0.00
32028	7035	0.01
32041	4545	0.01
32145	7152	0.01
32155	7162	0.05
32176	7183	0.02
32192	4696	0.00
32224	7231	0.07
32228	7235	0.07
32251	9761	0.04
32260	2261	0.03
32266	7273	0.02
32294	4798	0.00
32300	2301	0.00
32300	9810	0.08
32304	7311	0.08
32335	7342	0.01
32353	4857	0.00
32410	9920	0.01
32472	4976	0.06
32479	9989	0.04
32488	2489	0.08
32507	7514	0.01
32526	5030	0.00
32541	51	0.08
32590	100	0.06
32598	5102	0.01
32599	5103	0.04
32622	2623	0.00
32649	2650	0.08
32654	5158	0.07
32694	5198	0.08
32704	5208	0.03
32724	2725	0.06
32770	7777	0.06
32868	2869	0.07
32870	2871	0.03
32956	466	0.04
32970	480	0.06
32976	7983	0.04
33008	518	0.06
33031	5535	0.08
33033	8040	0.05
33087	597	0.00
33096	8103	0.05
33119	5623	0.03
33120	630	0.00
33125	8132	0.00
33128	5632	0.08
33149	3150	0.05
33175	8182	0.08
33179	8186	0.03
33183	8190	0.05
33276	786	0.07
33306	5810	0.04
33310	8317	0.05
33328	3329	0.06
33329	839	0.08
33349	3350	0.03
33408	5912	0.04
33436	5940	0.03
33466	976	0.00
33476	5980	0.07
33504	8511	0.07
33521	1031	0.01
33527	3528	0.05
33531	1041	0.05
33550	6054	0.04
33578	8585	0.08
33584	3585	0.06
33586	8593	0.07
33590	8597	0.05
33600	6104	0.02
33619	1129	0.03
33619	8626	0.06
33631	8638	0.08
33642	8649	0.08
33645	8652	0.01
33646	1156	0.01
33650	3651	0.06
33667	8674	0.08
33679	6183	0.06
33688	3689	0.01
33703	8710	0.02
33709	6213	0.06
33716	1226	0.05
33740	1250	0.00
33789	1299	0.05
33809	3810	0.08
33812	8819	0.01
33846	1356	0.04
33856	1366	0.01
33870	3871	0.07
33894	3895	0.03
33895	3896	0.01
33918	3919	0.00
33927	1437	0.05
33937	6441	0.06
33969	6473	0.01
34034	9041	0.06
34055	4056	0.08
34060	6564	0.06
34078	9085	0.00
34125	9132	0.05
34142	6646	0.07
34147	6651	0.05
34149	4150	0.02
34183	1693	0.02
34234	4235	0.04
34240	1750	0.05
34266	1776	0.02
34296	6800	0.01
34305	9312	0.02
34346	6850	0.03
34359	4360	0.04
34432	1942	0.07
34465	6969	0.01
34485	4486	0.05
34487	6991	0.00
34495	9502	0.03
34515	2025	0.02
34519	9526	0.01
34543	9550	0.08
34544	2054	0.06
34547	4548	0.05
34556	2066	0.06
34560	4561	0.00
34563	9570	0.03
34584	2094	0.06
34587	7091	0.04
34588	2098	0.04
34588	7092	0.05
34609	7113	0.05
34622	2132	0.01
34648	2158	0.02
34658	7162	0.07
34679	2189	0.03
34683	7187	0.06
34758	9765	0.01
34768	2278	0.00
34773	7277	0.06
34808	7312	0.07
34829	7333	0.06
34864	9871	0.07
34872	4873	0.02
34922	9929	0.08
34942	9949	0.02
34949	7453	0.05
34970	9977	0.04
34980	7484	0.05
35007	14	0.05
35025	2535	0.03
35052	59	0.01
35077	84	0.01
35137	2647	0.01
35171	7675	0.11
35172	5173	0.02
35214	221	0.04
35234	241	0.04
35236	243	0.06
35272	2782	0.00
35273	2783	0.01
35276	7780	0.02
35287	5288	0.08
35345	352	0.07
35345	2855	0.07
35376	7880	0.00
35419	426	0.05
35462	7966	0.03
35464	471	0.02
35469	2979	0.08
35516	5517	0.06
35546	3056	0.07
35607	3117	0.06
35621	628	0.07
35623	5624	0.00
35641	8145	0.04
35644	3154	0.01
35669	8173	0.00
35673	680	0.00
35698	705	0.03
35698	8202	0.04
35714	8218	0.07
35729	736	0.01
35755	3265	0.01
35783	790	0.01
35809	5810	0.06
35822	829	0.03
35867	8371	0.05
35872	879	0.05
35959	8463	0.02
35975	3485	0.07
36020	8524	0.03
36023	8527	0.00
36079	6080	0.00
36087	6088	0.03
36198	6199	0.08
36252	6253	0.02
36320	8824	0.02
36367	8871	0.03
36519	4029	0.08
36543	1550	0.08
36553	4063	0.02
36565	9069	0.07
36568	1575	0.07
36570	6571	0.00
36576	6577	0.01
36614	1621	0.02
36615	4125	0.07
36636	1643	0.08
36643	6644	0.07
36664	4174	0.04
36685	1692	0.05
36701	4211	0.05
36715	9219	0.04
36807	6808	0.06
36818	9322	0.08
36841	4351	0.00
36855	1862	0.08
36914	4424	0.03
36937	1944	0.08
36949	1956	0.03
36955	9459	0.03
37036	9540	0.02
37098	9602	0.02
37131	2138	0.04
37156	4666	0.05
37194	7195	0.02
37202	4712	0.02
37213	4723	0.02
37231	4741	0.00
37233	7234	0.06
37241	4751	0.03
37261	2268	0.00
37309	4819	0.03
37321	9825	0.00
37324	2331	0.00
37350	2357	0.06
37350	9854	0.03
37353	4863	0.02
37372	7373	0.07
37389	2396	0.06
37424	4934	0.03
37435	4945	0.02
37443	9947	0.01
37444	4954	0.02
37448	9952	0.07
37481	9985	0.02
37502	2509	0.04
37511	2518	0.00
37531	35	0.03
37592	2599	0.01
37634	5144	0.00
37643	5153	0.06
37664	2671	0.03
37702	7703	0.02
37726	7727	0.05
37736	5246	0.00
37773	5283	0.04
37775	5285	0.05
37805	309	0.07
37843	5353	0.01
37845	5355	0.07
37868	7869	0.08
37870	2877	0.06
37874	378	0.06
37923	427	0.07
37947	451	0.00
37964	468	0.03
37967	7968	0.00
37976	2983	0.03
37982	5492	0.04
37998	5508	0.05
38003	8004	0.01
38012	516	0.05
38024	3031	0.03
38033	537	0.02
38099	3106	0.00
38154	8155	0.06
38163	3170	0.00
38164	3171	0.01
38176	680	0.06
38191	5701	0.00
38210	714	0.05
38215	3222	0.06
38242	5752	0.05
38269	3276	0.01
38285	3292	0.01
38289	3296	0.00
38311	3318	0.02
38379	3386	0.07
38390	8391	0.04
38399	5909	0.05
38433	8434	0.05
38443	947	0.00
38463	967	0.07
38465	3472	0.07
38486	5996	0.07
38529	1033	0.03
38537	6047	0.04
38547	6057	0.08
38591	6101	0.08
38607	3614	0.02
38614	1118	0.04
38649	1153	0.05
38653	3660	0.05
38675	8676	0.08
38687	8688	0.00
38700	6210	0.00
38749	8750	0.08
38777	6287	0.00
38812	6322	0.06
38828	1332	0.03
38868	8869	0.03
38871	1375	0.04
38913	6423	0.00
38930	1434	0.06
38942	1446	0.00
38948	3955	0.05
38982	3989	0.01
39004	9005	0.04
39019	1523	0.03
39030	4037	0.00
39081	1585	0.03
39097	4104	0.00
39105	9106	0.01
39144	9145	0.02
39163	6673	0.05
39243	1747	0.05
39284	4291	0.00
39310	1814	0.03
39335	9336	0.06
39340	4347	0.07
39415	9416	0.06
39422	4429	0.04
39429	9430	0.06
39432	4439	0.03
39439	1943	0.08
39444	1948	0.06
39444	9445	0.06
39456	9457	0.03
39472	1976	0.02
39505	9506	0.03
39516	9517	0.04
39522	9523	0.01
39531	9532	0.03
39555	9556	0.06
39557	4564	0.08
39560	9561	0.02
39580	4587	0.08
39613	9614	0.01
39653	2157	0.07
39657	4664	0.02
39711	7221	0.08
39741	2245	0.04
39754	9755	0.01
39764	2268	0.08
39778	4785	0.06
39783	9784	0.05
39812	4819	0.01
39816	7326	0.08
39824	7334	0.01
39839	2343	0.04
39841	4848	0.07
39855	9856	0.00
39857	4864	0.08
39868	9869	0.06
39883	7393	0.03
39924	4931	0.08
39928	4935	0.00
39933	4940	0.07
39956	2460	0.03
39971	4978	0.07
39977	2481	0.02
39979	7489	0.01
40000	5007	0.05
40035	2540	0.05
40049	2554	0.02
40052	2557	0.03
40065	7578	0.07
40102	103	0.01
40132	7645	0.00
40142	5151	0.03
40152	2657	0.03
40177	7690	0.03
40196	2701	0.07
40208	2713	0.06
40216	217	0.07
40280	281	0.01
40304	5313	0.04
40350	351	0.06
40350	2855	0.07
40353	2858	0.01
40397	7910	0.03
40412	7925	0.01
40433	7946	0.07
40475	2980	0.07
40540	5549	0.06
40542	5551	0.02
40578	5587	0.06
40603	604	0.01
40613	8126	0.07
40633	8146	0.02
40634	635	0.05
40697	8210	0.04
40706	8219	0.05
40736	8249	0.05
40746	747	0.03
40766	767	0.05
40789	8302	0.02
40808	3313	0.01
40833	5842	0.04
40836	837	0.07
40846	847	0.04
40881	882	0.05
40882	3387	0.03
40899	5908	0.07
40911	912	0.04
40918	8431	0.02
40919	8432	0.08
40932	3437	0.00
40933	5942	0.06
40972	973	0.07
40980	5989	0.06
41007	8520	0.00
41016	1017	0.07
41028	3533	0.07
41031	8544	0.02
41041	1042	0.00
41048	8561	0.04
41068	6077	0.07
41068	8581	0.00
41105	6114	0.01
41109	1110	0.02
41169	8682	0.08
41209	6218	0.04
41222	8735	0.08
41262	1263	0.02
41350	8863	0.01
41357	3862	0.07
41364	3869	0.08
41369	6378	0.06
41370	6379	0.04
41380	8893	0.07
41400	1401	0.05
41416	1417	0.08
41434	8947	0.05
41437	3942	0.08
41449	3954	0.02
41452	3957	0.04
41466	3971	0.01
41506	4011	0.00
41509	6518	0.06
41521	1522	0.05
41545	4050	0.02
41563	1564	0.08
41653	6662	0.02
41685	9198	0.00
41690	9203	0.00
41715	4220	0.05
41732	1733	0.02
41738	1739	0.03
41768	9281	0.04
41779	4284	0.02
41783	9296	0.05
41810	4315	0.05
41835	9348	0.02
41846	4351	0.03
41867	9380	0.00
41879	4384	0.05
41886	1887	0.05
41914	4419	0.01
41917	6926	0.00
41920	4425	0.04
41937	1938	0.04
42003	9516	0.08
42012	2013	0.00
42059	9572	0.05
42076	7085	0.08
42078	9591	0.07
42082	9595	0.05
42107	4612	0.03
42130	9643	0.06
42134	4639	0.04
42154	4659	0.01
42165	4670	0.05
42169	2170	0.07
42182	4687	0.00
42182	7191	0.08
42201	7210	0.04
42203	9716	0.08
42214	4719	0.01
42220	7229	0.00
42220	9733	0.05
42244	2245	0.05
42253	9766	0.00
42332	7341	0.08
42342	9855	0.07
42386	4891	0.05
42400	4905	0.06
42418	4923	0.01
42432	9945	0.04
42462	2463	0.03
42469	7478	0.06
42494	4999	0.04
42540	2541	0.02
42553	2554	0.08
42595	7604	0.03
42596	5101	0.03
42615	5120	0.08
42631	7640	0.03
42642	5147	0.06
42661	2662	0.02
42696	7705	0.07
42716	5221	0.01
42768	2769	0.05
42777	2778	0.03
42791	2792	0.07
42824	337	0.06
42828	2829	0.01
42872	5377	0.07
42888	2889	0.00
42894	7903	0.04
42929	442	0.08
42932	7941	0.04
42945	7954	0.04
42972	485	0.05
42984	7993	0.06
43012	3013	0.08
43024	5529	0.08
43034	8043	0.00
43045	5550	0.08
43048	8057	0.06
43059	572	0.03
43086	8095	0.08
43101	614	0.02
43107	8116	0.08
43128	641	0.02
43146	659	0.03
43152	3153	0.00
43216	5721	0.07
43236	3237	0.00
43242	755	0.04
43247	5752	0.03
43276	789	0.06
43282	795	0.05
43349	862	0.05
43359	872	0.03
43393	3394	0.05
43435	5940	0.04
43446	3447	0.02
43470	983	0.07
43483	8492	0.04
43509	1022	0.03
43529	1042	0.04
43554	3555	0.01
43565	1078	0.06
43599	6104	0.05
43604	3605	0.00
43662	3663	0.07
43663	8672	0.04
43748	8757	0.07
43763	6268	0.05
43764	3765	0.05
43767	8776	0.05
43770	3771	0.07
43872	3873	0.02
43924	8933	0.08
44015	9024	0.08
44020	1533	0.07
44058	4059	0.03
44079	9088	0.04
44083	4084	0.05
44119	4120	0.02
44124	9133	0.03
44135	6640	0.01
44161	6666	0.02
44192	6697	0.01
44218	6723	0.04
44234	4235	0.06
44247	6752	0.05
44249	1762	0.04
44255	9264	0.04
44313	4314	0.07
44333	6838	0.05
44360	9369	0.08
44362	9371	0.03
44395	6900	0.00
44401	9410	0.00
44436	4437	0.08
44447	4448	0.06
44461	1974	0.05
44483	4484	0.06
44485	9494	0.01
44502	9511	0.06
44512	7017	0.01
44551	4552	0.02
44556	2069	0.06
44573	2086	0.00
44659	9668	0.07
44666	4667	0.02
44676	7181	0.06
44706	4707	0.02
44716	2229	0.02
44727	4728	0.06
44743	2256	0.04
44757	4758	0.04
44764	9773	0.00
44792	7297	0.05
44804	2317	0.04
44840	9849	0.06
44862	9871	0.02
44868	7373	0.00
44935	4936	0.01
44955	2468	0.06
44955	7460	0.00
45027	7532	0.02
45041	7546	0.07
45085	7590	0.03
45101	2614	0.07
45118	127	0.01
45124	2637	0.03
45129	7634	0.04
45160	2673	0.04
45179	2692	0.01
45189	198	0.00
45214	5215	0.01
45222	5223	0.02
45256	5257	0.00
45263	7768	0.03
45270	5271	0.00
45308	5309	0.01
45333	7838	0.06
45339	7844	0.08
45358	5359	0.02
45384	5385	0.08
45387	396	0.04
45398	407	0.05
45399	2912	0.01
45399	5400	0.01
45423	432	0.05
45451	2964	0.07
45457	2970	0.07
45478	5479	0.03
45515	8020	0.08
45522	531	0.07
45524	533	0.02
45551	5552	0.08
45559	8064	0.04
45569	5570	0.08
45595	3108	0.07
45653	662	0.08
45701	8206	0.04
45712	721	0.03
45713	722	0.06
45734	743	0.05
45738	3251	0.05
45740	8245	0.03
45786	5787	0.06
45790	8295	0.05
45805	3318	0.03
45822	8327	0.03
45832	841	0.01
45851	5852	0.00
45872	5873	0.02
45880	5881	0.08
45894	3407	0.06
45914	3427	0.05
45956	965	0.01
45967	8472	0.07
45978	5979	0.05
46001	1010	0.08
46005	6006	0.04
46009	1018	0.03
46038	3551	0.05
46059	3572	0.08
46068	8573	0.01
46070	8575	0.07
46115	3628	0.07
46122	3635	0.03
46146	1155	0.08
46148	1157	0.08
46150	8655	0.04
46199	8704	0.03
46212	6213	0.01
46261	3774	0.05
46265	3778	0.01
46267	3780	0.06
46273	3786	0.00
46285	8790	0.03
46382	8887	0.00
46393	6394	0.02
46396	3909	0.03
46402	3915	0.03
46409	3922	0.05
46414	1423	0.03
46414	6415	0.06
46430	3943	0.06
46446	1455	0.02
46470	8975	0.06
46475	6476	0.01
46500	1509	0.05
46539	4052	0.02
46543	9048	0.03
46577	1586	0.07
46580	9085	0.04
46583	4096	0.06
46609	1618	0.02
46637	1646	0.01
46639	1648	0.05
46658	1667	0.08
46670	9175	0.05
46728	9233	0.00
46762	9267	0.04
46766	6767	0.07
46791	9296	0.03
46796	1805	0.02
46810	9315	0.04
46813	1822	0.07
46841	9346	0.06
46843	6844	0.03
46941	1950	0.06
46949	1958	0.00
46964	1973	0.02
47010	4523	0.05
47022	4535	0.03
47035	7036	0.06
47037	4550	0.01
47063	7064	0.00
47066	2075	0.06
47085	4598	0.01
47089	9594	0.00
47117	4630	0.02
47119	9624	0.06
47126	2135	0.05
47167	2176	0.02
47168	2177	0.07
47185	4698	0.02
47212	9717	0.06
47256	4769	0.00
47268	9773	0.00
47278	2287	0.02
47302	4815	0.01
47321	2330	0.07
47331	9836	0.08
47338	2347	0.01
47411	2420	0.06
47427	2436	0.01
47430	2439	0.06
47434	7435	0.00
47438	7439	0.00
47440	9945	0.01
47451	9956	0.05
47504	7505	0.06
47520	2529	0.05
47529	7530	0.03
47533	38	0.02
47557	2566	0.08
47579	2588	0.01
47588	7589	0.06
47604	7605	0.02
47660	2669	0.04
47675	180	0.00
47679	184	0.02
47684	5197	0.01
47695	2704	0.07
47703	5216	0.05
47706	5219	0.02
47716	5229	0.07
47733	5246	0.03
47775	5288	0.08
47790	2799	0.03
47799	2808	0.03
47807	5320	0.05
47822	2831	0.01
47831	2840	0.08
47833	5346	0.00
47852	5365	0.06
47858	2867	0.06
47861	5374	0.06
47862	2871	0.04
47878	383	0.07
47881	386	0.05
47889	2898	0.08
47911	2920	0.08
47932	7933	0.00
47934	7935	0.05
47938	7939	0.07
47955	460	0.00
47973	5486	0.04
47985	5498	0.00
48009	3018	0.01
48014	5527	0.08
48039	5552	0.06
48049	3058	0.08
48062	8063	0.04
48099	8100	0.03
48107	612	0.05
48123	8124	0.07
48128	3137	0.00
48156	8157	0.02
48159	664	0.08
48223	5736	0.07
48230	735	0.04
48242	5755	0.00
48267	5780	0.04
48272	5785	0.05
48278	5791	0.07
48288	793	0.04
48298	3307	0.02
48322	827	0.08
48325	3334	0.03
48350	3359	0.08
48360	3369	0.06
48367	5880	0.03
48377	5890	0.07
48412	3421	0.05
48442	947	0.03
48579	1084	0.08
48603	3612	0.04
48612	8613	0.00
48639	8640	0.01
48647	1152	0.01
48666	6179	0.02
48678	3687	0.04
48689	6202	0.06
48733	3742	0.00
48745	6258	0.08
48748	3757	0.01
48756	3765	0.07
48772	6285	0.04
48782	6295	0.04
48818	8819	0.03
48820	3829	0.01
48896	8897	0.02
48901	1406	0.04
48904	1409	0.03
48922	3931	0.05
48944	6457	0.00
48992	4001	0.08
49033	9034	0.07
49034	9035	0.04
49068	6581	0.02
49069	1574	0.07
49072	9073	0.03
49102	6615	0.01
49104	9105	0.05
49110	6623	0.07
49144	6657	0.05
49146	1651	0.04
49147	1652	0.02
49179	4188	0.06
49189	1694	0.08
49203	9204	0.08
49210	4219	0.00
49217	1722	0.00
49234	6747	0.03
49240	4249	0.05
49267	6780	0.04
49270	6783	0.04
49283	6796	0.06
49295	9296	0.04
49339	6852	0.05
49343	9344	0.07
49353	1858	0.05
49371	4380	0.02
49379	1884	0.04
49421	6934	0.08
49449	9450	0.03
49469	4478	0.07
49478	4487	0.03
49480	1985	0.04
49502	4511	0.05
49503	2008	0.04
49506	4515	0.02
49522	9523	0.01
49536	9537	0.00
49549	4558	0.02
49567	2072	0.01
49568	2073	0.06
49601	2106	0.06
49602	9603	0.07
49603	2108	0.05
49639	2144	0.07
49672	4681	0.02
49696	2201	0.06
49720	7233	0.03
49740	2245	0.01
49750	2255	0.06
49764	9765	0.07
49773	7286	0.05
49774	2279	0.01
49812	7325	0.00
49839	4848	0.06
49874	4883	0.08
49892	9893	0.07
49934	2439	0.00
49934	4943	0.00
49942	9943	0.05
49947	4956	0.02
49967	4976	0.02
49975	9976	0.02
49985	2490	0.04
50009	5020	0.08
50009	7525	0.00
50010	7526	0.00
50012	7528	0.06
50040	2546	0.05
50044	5055	0.06
50054	2560	0.01
50068	69	0.06
50086	5097	0.02
50107	108	0.03
50120	5131	0.04
50131	5142	0.00
50144	7660	0.04
50168	169	0.02
50168	7684	0.04
50184	2690	0.03
50205	206	0.02
50239	2745	0.06
50248	7764	0.03
50257	5268	0.06
50262	263	0.03
50268	5279	0.03
50273	2779	0.01
50283	7799	0.07
50292	293	0.04
50303	5314	0.01
50307	2813	0.05
50308	5319	0.05
50334	335	0.07
50339	2845	0.04
50350	7866	0.06
50359	2865	0.04
50440	7956	0.03
50477	5488	0.02
50514	3020	0.08
50516	3022	0.08
50561	562	0.06
50571	5582	0.05
50584	585	0.05
50589	5600	0.08
50636	8152	0.05
50641	8157	0.03
50676	677	0.00
50681	5692	0.07
50707	5718	0.06
50734	5745	0.04
50769	3275	0.08
50776	3282	0.06
50791	5802	0.01
50796	797	0.06
50833	8349	0.03
50851	8367	0.04
50884	3390	0.08
50920	3426	0.04
50945	5956	0.02
50954	8470	0.06
50963	964	0.03
50969	3475	0.04
50969	8485	0.00
50972	8488	0.02
51042	8558	0.03
51054	6065	0.06
51060	8576	0.07
51062	8578	0.04
51094	1095	0.02
51112	8628	0.07
51132	8648	0.00
51137	1138	0.07
51138	3644	0.07
51159	3665	0.08
51159	8675	0.07
51164	3670	0.08
51191	8707	0.08
51200	1201	0.04
51230	3736	0.05
51243	8759	0.00
51267	6278	0.06
51313	8829	0.05
51323	6334	0.08
51332	1333	0.02
51361	8877	0.03
51371	1372	0.05
51377	8893	0.05
51392	1393	0.01
51441	1442	0.04
51461	6472	0.07
51461	8977	0.05
51496	6507	0.01
51501	9017	0.07
51510	6521	0.05
51516	1517	0.04
51549	4055	0.00
51574	6585	0.07
51604	1605	0.02
51608	9124	0.01
51634	1635	0.07
51665	4171	0.01
51679	4185	0.06
51687	1688	0.01
51705	4211	0.08
51749	9265	0.07
51750	6761	0.01
51764	6775	0.07
51766	6777	0.01
51792	4298	0.05
51821	9337	0.06
51852	6863	0.03
51907	1908	0.00
51959	9475	0.06
51967	1968	0.00
51971	4477	0.02
51980	1981	0.01
51992	7003	0.08
52014	9530	0.07
52039	4545	0.06
52054	9570	0.04
52059	7070	0.05
52070	2071	0.02
52084	9600	0.03
52103	9619	0.06
52148	2149	0.02
52153	2154	0.01
52202	9718	0.03
52240	2241	0.04
52330	2331	0.01
52349	4855	0.00
52355	2356	0.05
52368	7379	0.03
52396	4902	0.01
52398	9914	0.07
52412	4918	0.07
52417	2418	0.03
52428	4934	0.07
52439	2440	0.03
52452	4958	0.06
52503	19	0.08
52536	7547	0.08
52552	5058	0.07
52589	5095	0.07
52627	2628	0.07
52631	2632	0.07
52643	2644	0.00
52680	2681	0.02
52698	214	0.06
52698	7709	0.01
52804	320	0.05
52810	5316	0.06
52816	5322	0.03
52838	354	0.07
52846	7857	0.06
52852	7863	0.06
52868	384	0.04
52875	391	0.05
52909	5415	0.08
52969	485	0.08
53004	3005	0.04
53012	3013	0.06
53025	8036	0.07
53053	5559	0.02
53076	8087	0.01
53078	8089	0.07
53095	8106	0.04
53105	8116	0.06
53108	5614	0.05
53158	3159	0.06
53199	8210	0.07
53205	721	0.04
53210	3211	0.06
53251	5757	0.08
53275	791	0.02
53281	5787	0.02
53292	808	0.08
53309	8320	0.07
53311	5817	0.01
53329	8340	0.01
53394	3395	0.01
53401	8412	0.01
53439	955	0.00
53460	8471	0.05
53461	3462	0.07
53482	8493	0.03
53483	999	0.04
53487	5993	0.05
53524	3525	0.05
53526	3527	0.05
53551	6057	0.00
53556	3557	0.04
53572	3573	0.01
53585	8596	0.04
53599	3600	0.00
53624	3625	0.03
53645	3646	0.08
53646	6152	0.05
53649	3650	0.07
53653	1169	0.03
53666	3667	0.07
53678	6184	0.05
53683	8694	0.04
53716	1232	0.03
53727	1243	0.02
53741	3742	0.06
53744	8755	0.05
53747	6253	0.05
53790	1306	0.01
53793	3794	0.04
53814	3815	0.03
53819	3820	0.04
53826	3827	0.03
53846	8857	0.08
53882	3883	0.08
53884	3885	0.03
53922	1438	0.01
53922	6428	0.00
53958	8969	0.06
53981	6487	0.06
54013	6519	0.02
54022	9033	0.07
54032	1548	0.02
54038	4039	0.00
54140	4141	0.03
54165	1681	0.08
54179	1695	0.03
54192	1708	0.06
54193	1709	0.09
54230	1746	0.02
54313	6819	0.02
54328	1844	0.00
54398	4399	0.07
54403	4404	0.01
54412	9423	0.02
54413	1929	0.03
54419	9430	0.06
54514	7020	0.02
54517	4518	0.05
54519	4520	0.00
54519	9530	0.01
54591	9602	0.03
54603	2119	0.07
54662	9673	0.05
54679	4680	0.03
54680	7186	0.07
54713	7219	0.03
54764	9775	0.05
54766	7272	0.04
54770	2286	0.03
54773	2289	0.08
54783	7289	0.04
54805	7311	0.07
54814	9825	0.06
54825	7331	0.08
54839	2355	0.08
54847	2363	0.07
54851	7357	0.01
54865	9876	0.08
54879	7385	0.06
54927	4928	0.04
54933	7439	0.07
54948	7454	0.03
54971	9982	0.07
54977	2493	0.02
54999	5000	0.03
55001	7507	0.08
55040	5041	0.01
55050	5051	0.00
55057	5058	0.01
55167	2683	0.01
55176	5177	0.07
55220	2736	0.02
55253	2769	0.04
55264	2780	0.04
55310	321	0.08
55334	2850	0.03
55342	353	0.05
55345	7851	0.03
55350	7856	0.05
55351	5352	0.07
55368	2884	0.06
55376	7882	0.08
55380	391	0.04
55408	419	0.00
55426	437	0.08
55426	7932	0.02
55460	2976	0.01
55467	7973	0.01
55468	479	0.02
55509	520	0.06
55575	3091	0.07
55596	5597	0.01
55630	641	0.06
55632	643	0.03
55655	3171	0.03
55682	3198	0.06
55782	5783	0.01
55810	3326	0.00
55814	825	0.03
55815	3331	0.04
55835	8341	0.01
55844	855	0.07
55848	5849	0.02
55891	902	0.01
55891	8397	0.07
55903	3419	0.00
55926	8432	0.07
55927	5928	0.00
55928	8434	0.02
55956	3472	0.03
55963	3479	0.06
55974	3490	0.08
56012	6013	0.06
56025	3541	0.03
56036	8542	0.05
56042	3558	0.05
56059	6060	0.05
56061	6062	0.02
56075	3591	0.03
56090	1101	0.06
56091	1102	0.03
56099	8605	0.00
56154	8660	0.00
56164	3680	0.02
56171	1182	0.11
56176	1187	0.00
56200	3716	0.04
56267	3783	0.03
56285	1296	0.07
56308	1319	0.04
56308	8814	0.02
56321	3837	0.01
56400	3916	0.08
56409	3925	0.00
56421	1432	0.04
56428	8934	0.07
56433	3949	0.04
56437	3953	0.05
56441	6442	0.05
56453	1464	0.06
56462	6463	0.03
56465	8971	0.06
56480	6481	0.04
56495	9001	0.05
56503	1514	0.00
56505	9011	0.03
56531	4047	0.05
56541	4057	0.06
56565	9071	0.08
56590	4106	0.06
56598	6599	0.03
56605	9111	0.02
56623	9129	0.01
56626	4142	0.03
56652	9158	0.03
56654	6655	0.00
56665	1676	0.08
56666	6667	0.07
56668	6669	0.03
56669	1680	0.06
56720	4236	0.03
56730	9236	0.05
56747	6748	0.04
56760	6761	0.02
56788	6789	0.08
56790	9296	0.03
56798	4314	0.08
56891	9397	0.01
56914	1925	0.03
56950	6951	0.03
56984	9490	0.04
56989	9495	0.03
57026	4542	0.07
57050	9556	0.07
57076	9582	0.07
57100	2111	0.03
57104	9610	0.08
57169	4685	0.04
57176	2187	0.01
57181	2192	0.04
57192	2203	0.04
57193	7194	0.06
57194	4710	0.05
57200	2211	0.01
57216	9722	0.08
57218	4734	0.06
57226	7227	0.02
57232	2243	0.07
57236	4752	0.06
57314	2325	0.06
57315	7316	0.08
57317	2328	0.05
57367	2378	0.06
57388	9894	0.08
57392	7393	0.02
57395	9901	0.05
57398	9904	0.08
57411	4927	0.01
57413	9919	0.00
57422	2433	0.06
57434	2445	0.03
57572	5088	0.04
57578	84	0.01
57609	115	0.05
57706	5222	0.03
57718	5234	0.05
57724	7725	0.06
57750	7751	0.06
57771	5287	0.06
57771	7772	0.00
57793	7794	0.05
57879	385	0.03
57907	7908	0.06
57916	422	0.04
57971	2982	0.00
58025	3036	0.03
58030	536	0.08
58106	8107	0.02
58119	5635	0.01
58125	8126	0.05
58135	641	0.06
58147	653	0.07
58148	8149	0.04
58157	3168	0.05
58169	5685	0.04
58178	3189	0.06
58188	694	0.03
58188	3199	0.01
58212	5728	0.05
58252	8253	0.07
58253	5769	0.01
58258	8259	0.07
58264	8265	0.08
58277	3288	0.02
58278	3289	0.08
58285	3296	0.07
58299	5815	0.08
58316	8317	0.05
58326	3337	0.03
58348	854	0.04
58421	927	0.04
58448	3459	0.03
58449	8450	0.05
