cidx	CCHAR1	CAST(CCHAR1 AS CHAR(1))
7	qqqqqqqq	qqqqqq
8	qqqqqqqqq	qqqqqq
9	qqqqqqqqqq	qqqqqq
10	zzzzzzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(7))
1	aaaaaaaaaa	aaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqq
8	qqqqqqqqq	qqqqqqq
9	qqqqqqqqqq	qqqqqqq
10	zzzzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(8))
1	aaaaaaaaaa	aaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqq
9	qqqqqqqqqq	qqqqqqqq
10	zzzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(9))
1	aaaaaaaaaa	aaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(20))
1	aaaaaaaaaa	aaaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzzz
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(1))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(2))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(3))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(4))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(5))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(6))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(7))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(8))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(9))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	CAST(CVCHAR1 AS CHAR(20))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(1))
1	aa	a
2	b	b
3	bb	b
4	bb	b
5	bb	b
6	yy	y
7	yy	y
8	yy	y
9	yy	y
10	zz	z
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(2))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(3))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(4))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(5))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(6))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(7))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(8))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(9))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR(20))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(1))
1	aaa	a
2	c	c
3	cc	c
4	ccc	c
5	ccc	c
6	xxx	x
7	xxx	x
8	xxx	x
9	xxx	x
10	zzz	z
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(2))
1	aaa	aa
2	c	c
3	cc	cc
4	ccc	cc
5	ccc	cc
6	xxx	xx
7	xxx	xx
8	xxx	xx
9	xxx	xx
10	zzz	zz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(3))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(4))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(5))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(6))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(7))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(8))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(9))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	CAST(CVCHAR3 AS CHAR(20))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(1))
1	aaaa	a
2	d	d
3	dd	d
4	ddd	d
5	dddd	d
6	wwww	w
7	wwww	w
8	wwww	w
9	wwww	w
10	zzzz	z
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(2))
1	aaaa	aa
2	d	d
3	dd	dd
4	ddd	dd
5	dddd	dd
6	wwww	ww
7	wwww	ww
8	wwww	ww
9	wwww	ww
10	zzzz	zz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(3))
1	aaaa	aaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	ddd
6	wwww	www
7	wwww	www
8	wwww	www
9	wwww	www
10	zzzz	zzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(4))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(5))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(6))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(7))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(8))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(9))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	CAST(CVCHAR4 AS CHAR(20))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(1))
1	aaaaa	a
2	e	e
3	ee	e
4	eee	e
5	eeee	e
6	vvvvv	v
7	vvvvv	v
8	vvvvv	v
9	vvvvv	v
10	zzzzz	z
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(2))
1	aaaaa	aa
2	e	e
3	ee	ee
4	eee	ee
5	eeee	ee
6	vvvvv	vv
7	vvvvv	vv
8	vvvvv	vv
9	vvvvv	vv
10	zzzzz	zz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(3))
1	aaaaa	aaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eee
6	vvvvv	vvv
7	vvvvv	vvv
8	vvvvv	vvv
9	vvvvv	vvv
10	zzzzz	zzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(4))
1	aaaaa	aaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvv
7	vvvvv	vvvv
8	vvvvv	vvvv
9	vvvvv	vvvv
10	zzzzz	zzzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(5))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(6))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(7))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(8))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(9))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	CAST(CVCHAR5 AS CHAR(20))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(1))
1	aaaaaa	a
2	f	f
3	ff	f
4	fff	f
5	ffff	f
6	uuuuuu	u
7	uuuuuu	u
8	uuuuuu	u
9	uuuuuu	u
10	zzzzzz	z
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(2))
1	aaaaaa	aa
2	f	f
3	ff	ff
4	fff	ff
5	ffff	ff
6	uuuuuu	uu
7	uuuuuu	uu
8	uuuuuu	uu
9	uuuuuu	uu
10	zzzzzz	zz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(3))
1	aaaaaa	aaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	fff
6	uuuuuu	uuu
7	uuuuuu	uuu
8	uuuuuu	uuu
9	uuuuuu	uuu
10	zzzzzz	zzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(4))
1	aaaaaa	aaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuu
7	uuuuuu	uuuu
8	uuuuuu	uuuu
9	uuuuuu	uuuu
10	zzzzzz	zzzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(5))
1	aaaaaa	aaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuu
7	uuuuuu	uuuuu
8	uuuuuu	uuuuu
9	uuuuuu	uuuuu
10	zzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(6))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(7))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(8))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(9))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR6	CAST(CVCHAR6 AS CHAR(20))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(1))
1	aaaaaaa	a
2	g	g
3	gg	g
4	ggg	g
5	gggg	g
6	ttttttt	t
7	ttttttt	t
8	ttttttt	t
9	ttttttt	t
10	zzzzzzz	z
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(2))
1	aaaaaaa	aa
2	g	g
3	gg	gg
4	ggg	gg
5	gggg	gg
6	ttttttt	tt
7	ttttttt	tt
8	ttttttt	tt
9	ttttttt	tt
10	zzzzzzz	zz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(3))
1	aaaaaaa	aaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	ggg
6	ttttttt	ttt
7	ttttttt	ttt
8	ttttttt	ttt
9	ttttttt	ttt
10	zzzzzzz	zzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(4))
1	aaaaaaa	aaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	tttt
7	ttttttt	tttt
8	ttttttt	tttt
9	ttttttt	tttt
10	zzzzzzz	zzzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(5))
1	aaaaaaa	aaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttt
7	ttttttt	ttttt
8	ttttttt	ttttt
9	ttttttt	ttttt
10	zzzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(6))
1	aaaaaaa	aaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	tttttt
7	ttttttt	tttttt
8	ttttttt	tttttt
9	ttttttt	tttttt
10	zzzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(7))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(8))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(9))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR7	CAST(CVCHAR7 AS CHAR(20))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(1))
1	aaaaaaaa	a
2	h	h
3	hh	h
4	hhh	h
5	hhhh	h
6	sssssss	s
7	ssssssss	s
8	ssssssss	s
9	ssssssss	s
10	zzzzzzzz	z
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(2))
1	aaaaaaaa	aa
2	h	h
3	hh	hh
4	hhh	hh
5	hhhh	hh
6	sssssss	ss
7	ssssssss	ss
8	ssssssss	ss
9	ssssssss	ss
10	zzzzzzzz	zz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(3))
1	aaaaaaaa	aaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhh
6	sssssss	sss
7	ssssssss	sss
8	ssssssss	sss
9	ssssssss	sss
10	zzzzzzzz	zzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(4))
1	aaaaaaaa	aaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	ssss
7	ssssssss	ssss
8	ssssssss	ssss
9	ssssssss	ssss
10	zzzzzzzz	zzzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(5))
1	aaaaaaaa	aaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssss
7	ssssssss	sssss
8	ssssssss	sssss
9	ssssssss	sssss
10	zzzzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(6))
1	aaaaaaaa	aaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	ssssss
7	ssssssss	ssssss
8	ssssssss	ssssss
9	ssssssss	ssssss
10	zzzzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(7))
1	aaaaaaaa	aaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	sssssss
8	ssssssss	sssssss
9	ssssssss	sssssss
10	zzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(8))
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(9))
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR(20))
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(1))
1	aaaaaaaaaa	a
2	j	j
3	jj	j
4	jjj	j
5	jjjj	j
6	qqqqqqq	q
7	qqqqqqqq	q
8	qqqqqqqqq	q
9	qqqqqqqqqq	q
10	zzzzzzzzzz	z
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(2))
1	aaaaaaaaaa	aa
2	j	j
3	jj	jj
4	jjj	jj
5	jjjj	jj
6	qqqqqqq	qq
7	qqqqqqqq	qq
8	qqqqqqqqq	qq
9	qqqqqqqqqq	qq
10	zzzzzzzzzz	zz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(3))
1	aaaaaaaaaa	aaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjj
6	qqqqqqq	qqq
7	qqqqqqqq	qqq
8	qqqqqqqqq	qqq
9	qqqqqqqqqq	qqq
10	zzzzzzzzzz	zzz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(4))
1	aaaaaaaaaa	aaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqq
7	qqqqqqqq	qqqq
8	qqqqqqqqq	qqqq
9	qqqqqqqqqq	qqqq
10	zzzzzzzzzz	zzzz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(5))
1	aaaaaaaaaa	aaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqq
7	qqqqqqqq	qqqqq
8	qqqqqqqqq	qqqqq
9	qqqqqqqqqq	qqqqq
10	zzzzzzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(6))
1	aaaaaaaaaa	aaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqq
7	qqqqqqqq	qqqqqq
8	qqqqqqqqq	qqqqqq
9	qqqqqqqqqq	qqqqqq
10	zzzzzzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(7))
1	aaaaaaaaaa	aaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqq
8	qqqqqqqqq	qqqqqqq
9	qqqqqqqqqq	qqqqqqq
10	zzzzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(8))
1	aaaaaaaaaa	aaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqq
9	qqqqqqqqqq	qqqqqqqq
10	zzzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(9))
1	aaaaaaaaaa	aaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzz
11	NULL	NULL
