cidx	CDATE	DATE_SUB(CDATE, INTERVAL '01:22' YEAR_MONTH)
6	2009-12-28	2009-11-28
7	2009-12-29	2009-11-29
8	2009-12-30	2009-11-30
9	2009-12-31	2009-11-30
10	2009-12-31	2009-11-30
11	2009-12-31	2009-11-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -1 YEAR_MONTH)
1	1997-01-01	1997-02-01
2	1997-01-01	1997-02-01
3	1997-01-02	1997-02-02
4	1997-01-03	1997-02-03
5	1997-01-04	1997-02-04
6	2009-12-28	2010-01-28
7	2009-12-29	2010-01-29
8	2009-12-30	2010-01-30
9	2009-12-31	2010-01-31
10	2009-12-31	2010-01-31
11	2009-12-31	2010-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '1' YEAR_MONTH)
1	1997-01-01	1996-12-01
2	1997-01-01	1996-12-01
3	1997-01-02	1996-12-02
4	1997-01-03	1996-12-03
5	1997-01-04	1996-12-04
6	2009-12-28	2009-11-28
7	2009-12-29	2009-11-29
8	2009-12-30	2009-11-30
9	2009-12-31	2009-11-30
10	2009-12-31	2009-11-30
11	2009-12-31	2009-11-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 200 day)
1	1997-01-01	1996-06-15
2	1997-01-01	1996-06-15
3	1997-01-02	1996-06-16
4	1997-01-03	1996-06-17
5	1997-01-04	1996-06-18
6	2009-12-28	2009-06-11
7	2009-12-29	2009-06-12
8	2009-12-30	2009-06-13
9	2009-12-31	2009-06-14
10	2009-12-31	2009-06-14
11	2009-12-31	2009-06-14
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -200 MONTH)
1	1997-01-01	2013-09-01
2	1997-01-01	2013-09-01
3	1997-01-02	2013-09-02
4	1997-01-03	2013-09-03
5	1997-01-04	2013-09-04
6	2009-12-28	2026-08-28
7	2009-12-29	2026-08-29
8	2009-12-30	2026-08-30
9	2009-12-31	2026-08-31
10	2009-12-31	2026-08-31
11	2009-12-31	2026-08-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -200 year_MONTH)
1	1997-01-01	2013-09-01
2	1997-01-01	2013-09-01
3	1997-01-02	2013-09-02
4	1997-01-03	2013-09-03
5	1997-01-04	2013-09-04
6	2009-12-28	2026-08-28
7	2009-12-29	2026-08-29
8	2009-12-30	2026-08-30
9	2009-12-31	2026-08-31
10	2009-12-31	2026-08-31
11	2009-12-31	2026-08-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '20' YEAR_MONTH)
1	1997-01-01	1995-05-01
2	1997-01-01	1995-05-01
3	1997-01-02	1995-05-02
4	1997-01-03	1995-05-03
5	1997-01-04	1995-05-04
6	2009-12-28	2008-04-28
7	2009-12-29	2008-04-29
8	2009-12-30	2008-04-30
9	2009-12-31	2008-04-30
10	2009-12-31	2008-04-30
11	2009-12-31	2008-04-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '21' YEAR_MONTH)
1	1997-01-01	1995-04-01
2	1997-01-01	1995-04-01
3	1997-01-02	1995-04-02
4	1997-01-03	1995-04-03
5	1997-01-04	1995-04-04
6	2009-12-28	2008-03-28
7	2009-12-29	2008-03-29
8	2009-12-30	2008-03-30
9	2009-12-31	2008-03-31
10	2009-12-31	2008-03-31
11	2009-12-31	2008-03-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '22' YEAR_MONTH)
1	1997-01-01	1995-03-01
2	1997-01-01	1995-03-01
3	1997-01-02	1995-03-02
4	1997-01-03	1995-03-03
5	1997-01-04	1995-03-04
6	2009-12-28	2008-02-28
7	2009-12-29	2008-02-29
8	2009-12-30	2008-02-29
9	2009-12-31	2008-02-29
10	2009-12-31	2008-02-29
11	2009-12-31	2008-02-29
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 23 hour)
1	1997-01-01	1996-12-31 01:00:00
2	1997-01-01	1996-12-31 01:00:00
3	1997-01-02	1997-01-01 01:00:00
4	1997-01-03	1997-01-02 01:00:00
5	1997-01-04	1997-01-03 01:00:00
6	2009-12-28	2009-12-27 01:00:00
7	2009-12-29	2009-12-28 01:00:00
8	2009-12-30	2009-12-29 01:00:00
9	2009-12-31	2009-12-30 01:00:00
10	2009-12-31	2009-12-30 01:00:00
11	2009-12-31	2009-12-30 01:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 23 month)
1	1997-01-01	1995-02-01
2	1997-01-01	1995-02-01
3	1997-01-02	1995-02-02
4	1997-01-03	1995-02-03
5	1997-01-04	1995-02-04
6	2009-12-28	2008-01-28
7	2009-12-29	2008-01-29
8	2009-12-30	2008-01-30
9	2009-12-31	2008-01-31
10	2009-12-31	2008-01-31
11	2009-12-31	2008-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '23' YEAR_MONTH)
1	1997-01-01	1995-02-01
2	1997-01-01	1995-02-01
3	1997-01-02	1995-02-02
4	1997-01-03	1995-02-03
5	1997-01-04	1995-02-04
6	2009-12-28	2008-01-28
7	2009-12-29	2008-01-29
8	2009-12-30	2008-01-30
9	2009-12-31	2008-01-31
10	2009-12-31	2008-01-31
11	2009-12-31	2008-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 24888 year)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 24 hour)
1	1997-01-01	1996-12-31 00:00:00
2	1997-01-01	1996-12-31 00:00:00
3	1997-01-02	1997-01-01 00:00:00
4	1997-01-03	1997-01-02 00:00:00
5	1997-01-04	1997-01-03 00:00:00
6	2009-12-28	2009-12-27 00:00:00
7	2009-12-29	2009-12-28 00:00:00
8	2009-12-30	2009-12-29 00:00:00
9	2009-12-31	2009-12-30 00:00:00
10	2009-12-31	2009-12-30 00:00:00
11	2009-12-31	2009-12-30 00:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 24 month)
1	1997-01-01	1995-01-01
2	1997-01-01	1995-01-01
3	1997-01-02	1995-01-02
4	1997-01-03	1995-01-03
5	1997-01-04	1995-01-04
6	2009-12-28	2007-12-28
7	2009-12-29	2007-12-29
8	2009-12-30	2007-12-30
9	2009-12-31	2007-12-31
10	2009-12-31	2007-12-31
11	2009-12-31	2007-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 24 year)
1	1997-01-01	1973-01-01
2	1997-01-01	1973-01-01
3	1997-01-02	1973-01-02
4	1997-01-03	1973-01-03
5	1997-01-04	1973-01-04
6	2009-12-28	1985-12-28
7	2009-12-29	1985-12-29
8	2009-12-30	1985-12-30
9	2009-12-31	1985-12-31
10	2009-12-31	1985-12-31
11	2009-12-31	1985-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '24' YEAR_MONTH)
1	1997-01-01	1995-01-01
2	1997-01-01	1995-01-01
3	1997-01-02	1995-01-02
4	1997-01-03	1995-01-03
5	1997-01-04	1995-01-04
6	2009-12-28	2007-12-28
7	2009-12-29	2007-12-29
8	2009-12-30	2007-12-30
9	2009-12-31	2007-12-31
10	2009-12-31	2007-12-31
11	2009-12-31	2007-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -29 day)
1	1997-01-01	1997-01-30
2	1997-01-01	1997-01-30
3	1997-01-02	1997-01-31
4	1997-01-03	1997-02-01
5	1997-01-04	1997-02-02
6	2009-12-28	2010-01-26
7	2009-12-29	2010-01-27
8	2009-12-30	2010-01-28
9	2009-12-31	2010-01-29
10	2009-12-31	2010-01-29
11	2009-12-31	2010-01-29
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -2 day)
1	1997-01-01	1997-01-03
2	1997-01-01	1997-01-03
3	1997-01-02	1997-01-04
4	1997-01-03	1997-01-05
5	1997-01-04	1997-01-06
6	2009-12-28	2009-12-30
7	2009-12-29	2009-12-31
8	2009-12-30	2010-01-01
9	2009-12-31	2010-01-02
10	2009-12-31	2010-01-02
11	2009-12-31	2010-01-02
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -2 MONTH)
1	1997-01-01	1997-03-01
2	1997-01-01	1997-03-01
3	1997-01-02	1997-03-02
4	1997-01-03	1997-03-03
5	1997-01-04	1997-03-04
6	2009-12-28	2010-02-28
7	2009-12-29	2010-02-28
8	2009-12-30	2010-02-28
9	2009-12-31	2010-02-28
10	2009-12-31	2010-02-28
11	2009-12-31	2010-02-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 2 quarter)
1	1997-01-01	1996-07-01
2	1997-01-01	1996-07-01
3	1997-01-02	1996-07-02
4	1997-01-03	1996-07-03
5	1997-01-04	1996-07-04
6	2009-12-28	2009-06-28
7	2009-12-29	2009-06-29
8	2009-12-30	2009-06-30
9	2009-12-31	2009-06-30
10	2009-12-31	2009-06-30
11	2009-12-31	2009-06-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -300 day)
1	1997-01-01	1997-10-28
2	1997-01-01	1997-10-28
3	1997-01-02	1997-10-29
4	1997-01-03	1997-10-30
5	1997-01-04	1997-10-31
6	2009-12-28	2010-10-24
7	2009-12-29	2010-10-25
8	2009-12-30	2010-10-26
9	2009-12-31	2010-10-27
10	2009-12-31	2010-10-27
11	2009-12-31	2010-10-27
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -305 day)
1	1997-01-01	1997-11-02
2	1997-01-01	1997-11-02
3	1997-01-02	1997-11-03
4	1997-01-03	1997-11-04
5	1997-01-04	1997-11-05
6	2009-12-28	2010-10-29
7	2009-12-29	2010-10-30
8	2009-12-30	2010-10-31
9	2009-12-31	2010-11-01
10	2009-12-31	2010-11-01
11	2009-12-31	2010-11-01
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -306 day)
1	1997-01-01	1997-11-03
2	1997-01-01	1997-11-03
3	1997-01-02	1997-11-04
4	1997-01-03	1997-11-05
5	1997-01-04	1997-11-06
6	2009-12-28	2010-10-30
7	2009-12-29	2010-10-31
8	2009-12-30	2010-11-01
9	2009-12-31	2010-11-02
10	2009-12-31	2010-11-02
11	2009-12-31	2010-11-02
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -307 day)
1	1997-01-01	1997-11-04
2	1997-01-01	1997-11-04
3	1997-01-02	1997-11-05
4	1997-01-03	1997-11-06
5	1997-01-04	1997-11-07
6	2009-12-28	2010-10-31
7	2009-12-29	2010-11-01
8	2009-12-30	2010-11-02
9	2009-12-31	2010-11-03
10	2009-12-31	2010-11-03
11	2009-12-31	2010-11-03
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -308 day)
1	1997-01-01	1997-11-05
2	1997-01-01	1997-11-05
3	1997-01-02	1997-11-06
4	1997-01-03	1997-11-07
5	1997-01-04	1997-11-08
6	2009-12-28	2010-11-01
7	2009-12-29	2010-11-02
8	2009-12-30	2010-11-03
9	2009-12-31	2010-11-04
10	2009-12-31	2010-11-04
11	2009-12-31	2010-11-04
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -309 day)
1	1997-01-01	1997-11-06
2	1997-01-01	1997-11-06
3	1997-01-02	1997-11-07
4	1997-01-03	1997-11-08
5	1997-01-04	1997-11-09
6	2009-12-28	2010-11-02
7	2009-12-29	2010-11-03
8	2009-12-30	2010-11-04
9	2009-12-31	2010-11-05
10	2009-12-31	2010-11-05
11	2009-12-31	2010-11-05
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -30 day)
1	1997-01-01	1997-01-31
2	1997-01-01	1997-01-31
3	1997-01-02	1997-02-01
4	1997-01-03	1997-02-02
5	1997-01-04	1997-02-03
6	2009-12-28	2010-01-27
7	2009-12-29	2010-01-28
8	2009-12-30	2010-01-29
9	2009-12-31	2010-01-30
10	2009-12-31	2010-01-30
11	2009-12-31	2010-01-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 30 day)
1	1997-01-01	1996-12-02
2	1997-01-01	1996-12-02
3	1997-01-02	1996-12-03
4	1997-01-03	1996-12-04
5	1997-01-04	1996-12-05
6	2009-12-28	2009-11-28
7	2009-12-29	2009-11-29
8	2009-12-30	2009-11-30
9	2009-12-31	2009-12-01
10	2009-12-31	2009-12-01
11	2009-12-31	2009-12-01
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -310 day)
1	1997-01-01	1997-11-07
2	1997-01-01	1997-11-07
3	1997-01-02	1997-11-08
4	1997-01-03	1997-11-09
5	1997-01-04	1997-11-10
6	2009-12-28	2010-11-03
7	2009-12-29	2010-11-04
8	2009-12-30	2010-11-05
9	2009-12-31	2010-11-06
10	2009-12-31	2010-11-06
11	2009-12-31	2010-11-06
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -311 day)
1	1997-01-01	1997-11-08
2	1997-01-01	1997-11-08
3	1997-01-02	1997-11-09
4	1997-01-03	1997-11-10
5	1997-01-04	1997-11-11
6	2009-12-28	2010-11-04
7	2009-12-29	2010-11-05
8	2009-12-30	2010-11-06
9	2009-12-31	2010-11-07
10	2009-12-31	2010-11-07
11	2009-12-31	2010-11-07
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -31 day)
1	1997-01-01	1997-02-01
2	1997-01-01	1997-02-01
3	1997-01-02	1997-02-02
4	1997-01-03	1997-02-03
5	1997-01-04	1997-02-04
6	2009-12-28	2010-01-28
7	2009-12-29	2010-01-29
8	2009-12-30	2010-01-30
9	2009-12-31	2010-01-31
10	2009-12-31	2010-01-31
11	2009-12-31	2010-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 31 day)
1	1997-01-01	1996-12-01
2	1997-01-01	1996-12-01
3	1997-01-02	1996-12-02
4	1997-01-03	1996-12-03
5	1997-01-04	1996-12-04
6	2009-12-28	2009-11-27
7	2009-12-29	2009-11-28
8	2009-12-30	2009-11-29
9	2009-12-31	2009-11-30
10	2009-12-31	2009-11-30
11	2009-12-31	2009-11-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -32 day)
1	1997-01-01	1997-02-02
2	1997-01-01	1997-02-02
3	1997-01-02	1997-02-03
4	1997-01-03	1997-02-04
5	1997-01-04	1997-02-05
6	2009-12-28	2010-01-29
7	2009-12-29	2010-01-30
8	2009-12-30	2010-01-31
9	2009-12-31	2010-02-01
10	2009-12-31	2010-02-01
11	2009-12-31	2010-02-01
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 32 day)
1	1997-01-01	1996-11-30
2	1997-01-01	1996-11-30
3	1997-01-02	1996-12-01
4	1997-01-03	1996-12-02
5	1997-01-04	1996-12-03
6	2009-12-28	2009-11-26
7	2009-12-29	2009-11-27
8	2009-12-30	2009-11-28
9	2009-12-31	2009-11-29
10	2009-12-31	2009-11-29
11	2009-12-31	2009-11-29
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -330 day)
1	1997-01-01	1997-11-27
2	1997-01-01	1997-11-27
3	1997-01-02	1997-11-28
4	1997-01-03	1997-11-29
5	1997-01-04	1997-11-30
6	2009-12-28	2010-11-23
7	2009-12-29	2010-11-24
8	2009-12-30	2010-11-25
9	2009-12-31	2010-11-26
10	2009-12-31	2010-11-26
11	2009-12-31	2010-11-26
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -33 day)
1	1997-01-01	1997-02-03
2	1997-01-01	1997-02-03
3	1997-01-02	1997-02-04
4	1997-01-03	1997-02-05
5	1997-01-04	1997-02-06
6	2009-12-28	2010-01-30
7	2009-12-29	2010-01-31
8	2009-12-30	2010-02-01
9	2009-12-31	2010-02-02
10	2009-12-31	2010-02-02
11	2009-12-31	2010-02-02
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '3 3' year)
1	1997-01-01	1994-01-01
2	1997-01-01	1994-01-01
3	1997-01-02	1994-01-02
4	1997-01-03	1994-01-03
5	1997-01-04	1994-01-04
6	2009-12-28	2006-12-28
7	2009-12-29	2006-12-29
8	2009-12-30	2006-12-30
9	2009-12-31	2006-12-31
10	2009-12-31	2006-12-31
11	2009-12-31	2006-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '3:3' year)
1	1997-01-01	1994-01-01
2	1997-01-01	1994-01-01
3	1997-01-02	1994-01-02
4	1997-01-03	1994-01-03
5	1997-01-04	1994-01-04
6	2009-12-28	2006-12-28
7	2009-12-29	2006-12-29
8	2009-12-30	2006-12-30
9	2009-12-31	2006-12-31
10	2009-12-31	2006-12-31
11	2009-12-31	2006-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '3?3' year)
1	1997-01-01	1994-01-01
2	1997-01-01	1994-01-01
3	1997-01-02	1994-01-02
4	1997-01-03	1994-01-03
5	1997-01-04	1994-01-04
6	2009-12-28	2006-12-28
7	2009-12-29	2006-12-29
8	2009-12-30	2006-12-30
9	2009-12-31	2006-12-31
10	2009-12-31	2006-12-31
11	2009-12-31	2006-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 34 day)
1	1997-01-01	1996-11-28
2	1997-01-01	1996-11-28
3	1997-01-02	1996-11-29
4	1997-01-03	1996-11-30
5	1997-01-04	1996-12-01
6	2009-12-28	2009-11-24
7	2009-12-29	2009-11-25
8	2009-12-30	2009-11-26
9	2009-12-31	2009-11-27
10	2009-12-31	2009-11-27
11	2009-12-31	2009-11-27
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3600 minute)
1	1997-01-01	1996-12-29 12:00:00
2	1997-01-01	1996-12-29 12:00:00
3	1997-01-02	1996-12-30 12:00:00
4	1997-01-03	1996-12-31 12:00:00
5	1997-01-04	1997-01-01 12:00:00
6	2009-12-28	2009-12-25 12:00:00
7	2009-12-29	2009-12-26 12:00:00
8	2009-12-30	2009-12-27 12:00:00
9	2009-12-31	2009-12-28 12:00:00
10	2009-12-31	2009-12-28 12:00:00
11	2009-12-31	2009-12-28 12:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3600 second)
1	1997-01-01	1996-12-31 23:00:00
2	1997-01-01	1996-12-31 23:00:00
3	1997-01-02	1997-01-01 23:00:00
4	1997-01-03	1997-01-02 23:00:00
5	1997-01-04	1997-01-03 23:00:00
6	2009-12-28	2009-12-27 23:00:00
7	2009-12-29	2009-12-28 23:00:00
8	2009-12-30	2009-12-29 23:00:00
9	2009-12-31	2009-12-30 23:00:00
10	2009-12-31	2009-12-30 23:00:00
11	2009-12-31	2009-12-30 23:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 day)
1	1997-01-01	1996-12-29
2	1997-01-01	1996-12-29
3	1997-01-02	1996-12-30
4	1997-01-03	1996-12-31
5	1997-01-04	1997-01-01
6	2009-12-28	2009-12-25
7	2009-12-29	2009-12-26
8	2009-12-30	2009-12-27
9	2009-12-31	2009-12-28
10	2009-12-31	2009-12-28
11	2009-12-31	2009-12-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 DAY)
1	1997-01-01	1996-12-29
2	1997-01-01	1996-12-29
3	1997-01-02	1996-12-30
4	1997-01-03	1996-12-31
5	1997-01-04	1997-01-01
6	2009-12-28	2009-12-25
7	2009-12-29	2009-12-26
8	2009-12-30	2009-12-27
9	2009-12-31	2009-12-28
10	2009-12-31	2009-12-28
11	2009-12-31	2009-12-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 hour)
1	1997-01-01	1996-12-31 21:00:00
2	1997-01-01	1996-12-31 21:00:00
3	1997-01-02	1997-01-01 21:00:00
4	1997-01-03	1997-01-02 21:00:00
5	1997-01-04	1997-01-03 21:00:00
6	2009-12-28	2009-12-27 21:00:00
7	2009-12-29	2009-12-28 21:00:00
8	2009-12-30	2009-12-29 21:00:00
9	2009-12-31	2009-12-30 21:00:00
10	2009-12-31	2009-12-30 21:00:00
11	2009-12-31	2009-12-30 21:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 minute)
1	1997-01-01	1996-12-31 23:57:00
2	1997-01-01	1996-12-31 23:57:00
3	1997-01-02	1997-01-01 23:57:00
4	1997-01-03	1997-01-02 23:57:00
5	1997-01-04	1997-01-03 23:57:00
6	2009-12-28	2009-12-27 23:57:00
7	2009-12-29	2009-12-28 23:57:00
8	2009-12-30	2009-12-29 23:57:00
9	2009-12-31	2009-12-30 23:57:00
10	2009-12-31	2009-12-30 23:57:00
11	2009-12-31	2009-12-30 23:57:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 month)
1	1997-01-01	1996-10-01
2	1997-01-01	1996-10-01
3	1997-01-02	1996-10-02
4	1997-01-03	1996-10-03
5	1997-01-04	1996-10-04
6	2009-12-28	2009-09-28
7	2009-12-29	2009-09-29
8	2009-12-30	2009-09-30
9	2009-12-31	2009-09-30
10	2009-12-31	2009-09-30
11	2009-12-31	2009-09-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 quarter)
1	1997-01-01	1996-04-01
2	1997-01-01	1996-04-01
3	1997-01-02	1996-04-02
4	1997-01-03	1996-04-03
5	1997-01-04	1996-04-04
6	2009-12-28	2009-03-28
7	2009-12-29	2009-03-29
8	2009-12-30	2009-03-30
9	2009-12-31	2009-03-31
10	2009-12-31	2009-03-31
11	2009-12-31	2009-03-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 SECOND)
1	1997-01-01	1996-12-31 23:59:57
2	1997-01-01	1996-12-31 23:59:57
3	1997-01-02	1997-01-01 23:59:57
4	1997-01-03	1997-01-02 23:59:57
5	1997-01-04	1997-01-03 23:59:57
6	2009-12-28	2009-12-27 23:59:57
7	2009-12-29	2009-12-28 23:59:57
8	2009-12-30	2009-12-29 23:59:57
9	2009-12-31	2009-12-30 23:59:57
10	2009-12-31	2009-12-30 23:59:57
11	2009-12-31	2009-12-30 23:59:57
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 SECOND)
1	1997-01-01	1996-12-31 23:59:57
2	1997-01-01	1996-12-31 23:59:57
3	1997-01-02	1997-01-01 23:59:57
4	1997-01-03	1997-01-02 23:59:57
5	1997-01-04	1997-01-03 23:59:57
6	2009-12-28	2009-12-27 23:59:57
7	2009-12-29	2009-12-28 23:59:57
8	2009-12-30	2009-12-29 23:59:57
9	2009-12-31	2009-12-30 23:59:57
10	2009-12-31	2009-12-30 23:59:57
11	2009-12-31	2009-12-30 23:59:57
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 week)
1	1997-01-01	1996-12-11
2	1997-01-01	1996-12-11
3	1997-01-02	1996-12-12
4	1997-01-03	1996-12-13
5	1997-01-04	1996-12-14
6	2009-12-28	2009-12-07
7	2009-12-29	2009-12-08
8	2009-12-30	2009-12-09
9	2009-12-31	2009-12-10
10	2009-12-31	2009-12-10
11	2009-12-31	2009-12-10
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 year)
1	1997-01-01	1994-01-01
2	1997-01-01	1994-01-01
3	1997-01-02	1994-01-02
4	1997-01-03	1994-01-03
5	1997-01-04	1994-01-04
6	2009-12-28	2006-12-28
7	2009-12-29	2006-12-29
8	2009-12-30	2006-12-30
9	2009-12-31	2006-12-31
10	2009-12-31	2006-12-31
11	2009-12-31	2006-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -4000 day)
1	1997-01-01	2007-12-15
2	1997-01-01	2007-12-15
3	1997-01-02	2007-12-16
4	1997-01-03	2007-12-17
5	1997-01-04	2007-12-18
6	2009-12-28	2020-12-10
7	2009-12-29	2020-12-11
8	2009-12-30	2020-12-12
9	2009-12-31	2020-12-13
10	2009-12-31	2020-12-13
11	2009-12-31	2020-12-13
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 41 day)
1	1997-01-01	1996-11-21
2	1997-01-01	1996-11-21
3	1997-01-02	1996-11-22
4	1997-01-03	1996-11-23
5	1997-01-04	1996-11-24
6	2009-12-28	2009-11-17
7	2009-12-29	2009-11-18
8	2009-12-30	2009-11-19
9	2009-12-31	2009-11-20
10	2009-12-31	2009-11-20
11	2009-12-31	2009-11-20
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 48 hour)
1	1997-01-01	1996-12-30 00:00:00
2	1997-01-01	1996-12-30 00:00:00
3	1997-01-02	1996-12-31 00:00:00
4	1997-01-03	1997-01-01 00:00:00
5	1997-01-04	1997-01-02 00:00:00
6	2009-12-28	2009-12-26 00:00:00
7	2009-12-29	2009-12-27 00:00:00
8	2009-12-30	2009-12-28 00:00:00
9	2009-12-31	2009-12-29 00:00:00
10	2009-12-31	2009-12-29 00:00:00
11	2009-12-31	2009-12-29 00:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 4 quarter)
1	1997-01-01	1996-01-01
2	1997-01-01	1996-01-01
3	1997-01-02	1996-01-02
4	1997-01-03	1996-01-03
5	1997-01-04	1996-01-04
6	2009-12-28	2008-12-28
7	2009-12-29	2008-12-29
8	2009-12-30	2008-12-30
9	2009-12-31	2008-12-31
10	2009-12-31	2008-12-31
11	2009-12-31	2008-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 4 week)
1	1997-01-01	1996-12-04
2	1997-01-01	1996-12-04
3	1997-01-02	1996-12-05
4	1997-01-03	1996-12-06
5	1997-01-04	1996-12-07
6	2009-12-28	2009-11-30
7	2009-12-29	2009-12-01
8	2009-12-30	2009-12-02
9	2009-12-31	2009-12-03
10	2009-12-31	2009-12-03
11	2009-12-31	2009-12-03
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 4 year)
1	1997-01-01	1993-01-01
2	1997-01-01	1993-01-01
3	1997-01-02	1993-01-02
4	1997-01-03	1993-01-03
5	1997-01-04	1993-01-04
6	2009-12-28	2005-12-28
7	2009-12-29	2005-12-29
8	2009-12-30	2005-12-30
9	2009-12-31	2005-12-31
10	2009-12-31	2005-12-31
11	2009-12-31	2005-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 51 day)
1	1997-01-01	1996-11-11
2	1997-01-01	1996-11-11
3	1997-01-02	1996-11-12
4	1997-01-03	1996-11-13
5	1997-01-04	1996-11-14
6	2009-12-28	2009-11-07
7	2009-12-29	2009-11-08
8	2009-12-30	2009-11-09
9	2009-12-31	2009-11-10
10	2009-12-31	2009-11-10
11	2009-12-31	2009-11-10
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 57 day)
1	1997-01-01	1996-11-05
2	1997-01-01	1996-11-05
3	1997-01-02	1996-11-06
4	1997-01-03	1996-11-07
5	1997-01-04	1996-11-08
6	2009-12-28	2009-11-01
7	2009-12-29	2009-11-02
8	2009-12-30	2009-11-03
9	2009-12-31	2009-11-04
10	2009-12-31	2009-11-04
11	2009-12-31	2009-11-04
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 58 day)
1	1997-01-01	1996-11-04
2	1997-01-01	1996-11-04
3	1997-01-02	1996-11-05
4	1997-01-03	1996-11-06
5	1997-01-04	1996-11-07
6	2009-12-28	2009-10-31
7	2009-12-29	2009-11-01
8	2009-12-30	2009-11-02
9	2009-12-31	2009-11-03
10	2009-12-31	2009-11-03
11	2009-12-31	2009-11-03
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 590 day)
1	1997-01-01	1995-05-22
2	1997-01-01	1995-05-22
3	1997-01-02	1995-05-23
4	1997-01-03	1995-05-24
5	1997-01-04	1995-05-25
6	2009-12-28	2008-05-17
7	2009-12-29	2008-05-18
8	2009-12-30	2008-05-19
9	2009-12-31	2008-05-20
10	2009-12-31	2008-05-20
11	2009-12-31	2008-05-20
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 59 day)
1	1997-01-01	1996-11-03
2	1997-01-01	1996-11-03
3	1997-01-02	1996-11-04
4	1997-01-03	1996-11-05
5	1997-01-04	1996-11-06
6	2009-12-28	2009-10-30
7	2009-12-29	2009-10-31
8	2009-12-30	2009-11-01
9	2009-12-31	2009-11-02
