cidx	CCHAR1	RIGHT(CCHAR1,2)
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR7	RIGHT(CVCHAR7,8)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR7	RIGHT(CVCHAR7,9)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR7	RIGHT(CVCHAR7,25)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR8	RIGHT(CVCHAR8,2)
1	aaaaaaaa	aa
2	h	h
3	hh	hh
4	hhh	hh
5	hhhh	hh
6	sssssss	ss
7	ssssssss	ss
8	ssssssss	ss
9	ssssssss	ss
10	zzzzzzzz	zz
11	NULL	NULL
cidx	CVCHAR8	RIGHT(CVCHAR8,5)
1	aaaaaaaa	aaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssss
7	ssssssss	sssss
8	ssssssss	sssss
9	ssssssss	sssss
10	zzzzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR8	RIGHT(CVCHAR8,7)
1	aaaaaaaa	aaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	sssssss
8	ssssssss	sssssss
9	ssssssss	sssssss
10	zzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR8	RIGHT(CVCHAR8,8)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR8	RIGHT(CVCHAR8,9)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR8	RIGHT(CVCHAR8,25)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR255	RIGHT(CVCHAR255,2)
1	aaaaaaaaaa	aa
2	j	j
3	jj	jj
4	jjj	jj
5	jjjj	jj
6	qqqqqqq	qq
7	qqqqqqqq	qq
8	qqqqqqqqq	qq
9	qqqqqqqqqq	qq
10	zzzzzzzzzz	zz
11	NULL	NULL
cidx	CVCHAR255	RIGHT(CVCHAR255,5)
1	aaaaaaaaaa	aaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqq
7	qqqqqqqq	qqqqq
8	qqqqqqqqq	qqqqq
9	qqqqqqqqqq	qqqqq
10	zzzzzzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR255	RIGHT(CVCHAR255,7)
1	aaaaaaaaaa	aaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqq
8	qqqqqqqqq	qqqqqqq
9	qqqqqqqqqq	qqqqqqq
10	zzzzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CVCHAR255	RIGHT(CVCHAR255,8)
1	aaaaaaaaaa	aaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqq
9	qqqqqqqqqq	qqqqqqqq
10	zzzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR255	RIGHT(CVCHAR255,9)
1	aaaaaaaaaa	aaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CVCHAR255	RIGHT(CVCHAR255,25)
1	aaaaaaaaaa	aaaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzzz
11	NULL	NULL
cidx	CCHAR3
1	aaa
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR4
1	aaaa
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR5
1	aaaaa
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR6
1	aaaaaa
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR7
1	aaaaaaa
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR8
1	aaaaaaaa
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR3
1	aaa
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR4
1	aaaa
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR5
1	aaaaa
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR6
1	aaaaaa
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR7
1	aaaaaaa
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
9	qqqqqqqqqq
10	zzzzzzzzzz
