c_city	s_city	d_year	revenue
UNITED ST8	UNITED ST7	1997	38768312.00
UNITED ST4	UNITED ST5	1997	38289577.00
UNITED ST0	UNITED ST7	1997	37590150.00
UNITED ST6	UNITED ST8	1997	37274348.00
UNITED ST2	UNITED ST2	1997	36972598.00
UNITED ST5	UNITED ST5	1997	36637628.00
UNITED ST4	UNITED ST7	1997	35974041.00
UNITED ST1	UNITED ST1	1997	34933755.00
UNITED ST7	UNITED ST3	1997	34849592.00
UNITED ST3	UNITED ST2	1997	34311671.00
UNITED ST1	UNITED ST4	1997	33688328.00
UNITED ST5	UNITED ST9	1997	33174385.00
UNITED ST6	UNITED ST5	1997	33011622.00
UNITED ST3	UNITED ST7	1997	32260856.00
UNITED ST3	UNITED ST5	1997	31985920.00
UNITED ST9	UNITED ST5	1997	31736084.00
UNITED ST9	UNITED ST2	1997	31544416.00
UNITED ST7	UNITED ST6	1997	30356196.00
UNITED ST2	UNITED ST8	1997	29410213.00
UNITED ST4	UNITED ST9	1997	28917776.00
UNITED ST1	UNITED ST0	1997	28841486.00
UNITED ST8	UNITED ST3	1997	28160402.00
UNITED ST6	UNITED ST3	1997	28086896.00
UNITED ST3	UNITED ST6	1997	26835074.00
UNITED ST0	UNITED ST3	1997	26794193.00
UNITED ST4	UNITED ST1	1997	25732802.00
UNITED ST3	UNITED ST8	1997	25629539.00
UNITED ST8	UNITED ST8	1997	25524737.00
UNITED ST1	UNITED ST6	1997	24783677.00
UNITED ST7	UNITED ST5	1997	23974473.00
UNITED ST5	UNITED ST8	1997	21967335.00
UNITED ST4	UNITED ST2	1997	21465422.00
UNITED ST2	UNITED ST6	1997	21339038.00
UNITED ST5	UNITED ST2	1997	21174589.00
UNITED ST4	UNITED ST3	1997	20111528.00
UNITED ST1	UNITED ST5	1997	19229362.00
UNITED ST6	UNITED ST6	1997	18327262.00
UNITED ST9	UNITED ST9	1997	18158544.00
UNITED ST9	UNITED ST3	1997	17613250.00
UNITED ST0	UNITED ST8	1997	17560731.00
UNITED ST9	UNITED ST1	1997	17184738.00
UNITED ST4	UNITED ST8	1997	8367123.00
